Gene,ZT0,ZT2,ZT4,ZT6,ZT8,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22
Arntl,14.47,14.12,13.22,12.17,10.72,9.48,9.58,9.77,10.7,12.03,13.31,14.44
Per2,10.13,11.02,11.58,11.8,11.78,11.26,10.01,8.98,8.37,7.71,8.21,9.1
Per1,11.66,12.22,12.82,12.79,12.44,11.22,10.66,9.39,8.68,9.13,9.53,10.73
Cry1,8.37,8.78,9.9,10.12,10.48,10.25,9.77,9.15,8.36,7.76,7.62,7.79
Cry2,8.06,8.71,9.34,9.84,9.71,9.82,8.7,7.98,7.71,7.49,7.33,7.72
Nr1d1,11.9,12.39,12.4,12.29,11.8,10.2,9.41,8.65,8.23,8.75,9.52,10.99
Nr1d2,10.59,10.86,10.98,10.61,10.29,9.18,8.51,8.16,7.78,8.17,8.54,9.5
Clock,12.36,12.52,12.38,11.63,11.18,10.75,10.76,10.78,10.95,11.14,12.09,12.38
Dbp,12.23,12.7,13.1,11.91,11.04,9.3,7.92,7.07,7.27,8.3,9.44,10.86
Tef,9.68,10.52,10.39,9.75,9.07,8.46,8.2,7.42,7.63,8.39,8.74,9.47
Myc,7.35,7.1,8.09,7.92,9.05,8.8,9.61,8.51,8.55,7.08,7.26,7.33
Ccnd1,9.46,8.07,9.74,10.01,10.86,10.71,10.39,9.89,9.14,9.36,8.77,9.59
Wee1,7.53,8.33,7.88,8.32,8.31,8.07,7.78,6.78,6.12,6.71,6.99,7.43
Tp53,7.3,8.3,8.19,8.7,9.09,8.82,8.54,9.02,7.94,7.46,7.47,8.01
Cdkn1a,6.69,7.18,7.77,7.43,7.1,7.71,7.43,6.79,6.95,6.61,5.95,6.58
Bcl2,8.41,7.9,8.95,8.98,8.91,9.67,9.72,9.17,9.43,9.46,8.43,8.74
Bax,7.35,8.51,7.23,8.34,7.96,7.89,8.37,7.34,7.92,6.75,7.05,6.89
Ccne1,8.21,8.88,8.99,9.29,8.21,9.7,8.43,8.89,7.47,7.92,9.24,7.78
Mcm6,6.71,7.38,8.19,8.68,9.21,8.7,8.05,8.23,8.5,7.79,6.52,7.19
Mki67,7.01,7.39,7.07,7.24,6.92,7.19,7.5,7.53,7.33,6.7,6.24,6.24
Gapdh,10.71,12.86,9.28,11.6,12.49,13.74,11.99,13.11,11.47,11.11,11.24,13.92
Actb,12.79,12.19,15.4,11.46,12.14,11.72,11.09,14.03,13.16,9.89,11.12,12.12
Rps18,10.88,8.74,7.79,8.09,9.88,9.81,10.25,9.14,8.73,7.98,10.38,10.46
Hprt,9.94,9.76,8.85,10.21,8.85,8.36,8.48,8.43,7.03,9.14,9.25,8.72
Tubb,9.95,11.06,12.4,10.54,9.87,9.71,10.23,9.0,10.27,10.56,12.54,11.66
Ubc,12.24,10.3,11.79,9.75,11.29,11.37,10.06,13.11,11.57,8.91,11.66,10.64
Ppia,9.58,10.01,9.91,7.56,8.36,10.16,10.66,11.24,11.17,7.55,10.27,7.75
Sdha,9.99,8.82,7.59,10.21,8.99,6.79,8.63,7.77,8.53,8.1,9.73,7.39
Ywhaz,10.42,11.9,9.22,10.21,10.15,9.22,10.55,10.01,9.01,11.76,10.84,9.92
B2m,8.58,8.42,10.18,8.87,9.34,8.7,9.4,8.77,9.61,8.84,9.82,9.74
